domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,screenshot_path_banner,screenshot_path_manage,notes
priceza.com,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:58:23.318Z,https://www.priceza.com/,ok,,0,,unknown,,1,0,0,1,1,,,,0,0,0,0,0,14,,,1,,,,,,,,evidence/priceza.com/desktop/run2_banner.png,,
priceza.com,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:58:27.327Z,https://www.priceza.com/,ok,,0,,unknown,,1,0,0,1,1,,,,0,0,0,0,0,13,,,1,,,,,,,,evidence/priceza.com/mobile/run1_banner.png,,
priceza.com,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:58:31.224Z,https://www.priceza.com/,ok,,0,,unknown,,1,0,0,1,1,,,,0,0,0,0,0,13,,,1,,,,,,,,evidence/priceza.com/mobile/run2_banner.png,,
pomelofashion.com,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T08:58:35.091Z,https://pomelofashion.com/,ok,,0,,unknown,en,0,0,0,0,,,,,0,0,0,0,0,1,,,,,,,,,,,evidence/pomelofashion.com/desktop/run1_banner.png,,
pomelofashion.com,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:58:39.448Z,https://pomelofashion.com/,ok,,0,,unknown,en,0,0,0,0,,,,,0,0,0,0,0,1,,,,,,,,,,,evidence/pomelofashion.com/desktop/run2_banner.png,,
pomelofashion.com,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:58:43.445Z,https://pomelofashion.com/th/th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,27,,,1,1,0,,,,,,evidence/pomelofashion.com/mobile/run1_banner.png,evidence/pomelofashion.com/mobile/run1_manage.png,
tarad.com,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:57:59.980Z,http://www.tarad.com/,ok,,1,,unknown,,1,0,0,1,1,,,,0,0,0,0,0,12,,,1,,,,,,,,evidence/tarad.com/mobile/run1_banner.png,,
pomelofashion.com,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:58:50.605Z,https://pomelofashion.com/th/th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,27,,,1,1,0,,,,,,evidence/pomelofashion.com/mobile/run2_banner.png,evidence/pomelofashion.com/mobile/run2_manage.png,
aliexpress.com,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T08:58:53.581Z,https://th.aliexpress.com/?gatewayAdapt=glo2tha,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,19,,,1,1,0,,,,,,evidence/aliexpress.com/desktop/run1_banner.png,evidence/aliexpress.com/desktop/run1_manage.png,
aliexpress.com,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:58:59.467Z,https://th.aliexpress.com/?gatewayAdapt=glo2tha,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,20,,,1,1,0,,,,,,evidence/aliexpress.com/desktop/run2_banner.png,evidence/aliexpress.com/desktop/run2_manage.png,
tarad.com,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:58:14.863Z,http://www.tarad.com/,ok,,1,,unknown,,1,0,0,1,1,,,,0,0,0,0,0,12,,,1,,,,,,,,evidence/tarad.com/mobile/run2_banner.png,,
aliexpress.com,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:59:02.054Z,https://th.aliexpress.com/?gatewayAdapt=glo2tha,ok,,0,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,39,,,1,1,0,,,,,,evidence/aliexpress.com/mobile/run1_banner.png,evidence/aliexpress.com/mobile/run1_manage.png,
