domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,tracking_requests_count,tracking_cookies_count,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,dp3_flag_adv,dp3_pre_tracking_count,dp3_reject_tracking_count,dp3_accept_tracking_count,dp3_pre_only_endpoints_count,dp3_pre_only_cookies_count,dp3_pre_only_endpoints_sample,dp3_pre_only_cookies_sample,canvas_fp_preconsent,screenshot_path_banner,screenshot_path_manage,notes
komchadluek.net,NEWS_MEDIA,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-15T04:08:52.458Z,https://www.komchadluek.net/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,19,,,,,1,1,0,0,,0,,0,,,,,,,,,,evidence_dp3/komchadluek.net/mobile/run1_banner.png,evidence_dp3/komchadluek.net/mobile/run1_manage.png,"interstitial_step1_before=evidence_dp3/komchadluek.net/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.komchadluek.net/; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/komchadluek.net/mobile/run1_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
naewna.com,NEWS_MEDIA,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-15T04:09:32.670Z,https://www.naewna.com/index.php,ok,,1,,unknown,en,1,1,0,1,1,1,0,,0,0,0,0,1,77,,1,,,,0,,0,1,0,1,0,,,,,,,,,,evidence_dp3/naewna.com/desktop/run1_banner.png,,"interstitial_step1_before=evidence_dp3/naewna.com/desktop/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.naewna.com/index.php; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/naewna.com/desktop/run1_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; trackingReqs=6, trackingCookies=4; "
komchadluek.net,NEWS_MEDIA,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-15T04:09:09.260Z,https://www.komchadluek.net/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,19,,,,,1,1,0,0,,0,,0,,,,,,,,,,evidence_dp3/komchadluek.net/mobile/run2_banner.png,evidence_dp3/komchadluek.net/mobile/run2_manage.png,"interstitial_step1_before=evidence_dp3/komchadluek.net/mobile/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.komchadluek.net/; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/komchadluek.net/mobile/run2_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
naewna.com,NEWS_MEDIA,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-15T04:09:47.773Z,https://www.naewna.com/index.php,ok,,1,,unknown,en,1,1,0,1,1,1,0,,0,0,0,0,1,66,,1,,,,0,,0,1,0,1,0,,,,,,,,,,evidence_dp3/naewna.com/desktop/run2_banner.png,,"interstitial_step1_before=evidence_dp3/naewna.com/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.naewna.com/index.php; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/naewna.com/desktop/run2_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; trackingReqs=5, trackingCookies=4; "
naewna.com,NEWS_MEDIA,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-15T04:09:49.478Z,https://www.naewna.com/index.php,ok,,1,,unknown,th,1,1,1,1,1,1,0,,0,0,0,0,1,1,,1,,,,0,0,0,1,0,1,0,,,,,,,,,,evidence_dp3/naewna.com/mobile/run1_banner.png,evidence_dp3/naewna.com/mobile/run1_manage.png,"interstitial_step1_before=evidence_dp3/naewna.com/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.naewna.com/index.php; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/naewna.com/mobile/run1_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; trackingReqs=8, trackingCookies=4; "
thaipost.net,NEWS_MEDIA,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-15T04:10:08.810Z,https://www.thaipost.net/,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,4,,,,,1,,,0,,0,,0,,,,,,,,,,evidence_dp3/thaipost.net/desktop/run1_banner.png,,"interstitial_step1_before=evidence_dp3/thaipost.net/desktop/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.thaipost.net/; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thaipost.net/desktop/run1_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
naewna.com,NEWS_MEDIA,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-15T04:10:05.834Z,https://www.naewna.com/index.php,ok,,1,,unknown,th,1,1,1,1,1,1,0,,0,0,0,0,1,0,,1,,,,0,0,0,1,0,1,0,,,,,,,,,,evidence_dp3/naewna.com/mobile/run2_banner.png,evidence_dp3/naewna.com/mobile/run2_manage.png,"interstitial_step1_before=evidence_dp3/naewna.com/mobile/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.naewna.com/index.php; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/naewna.com/mobile/run2_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; trackingReqs=13, trackingCookies=4; "
thaipost.net,NEWS_MEDIA,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-15T04:10:32.846Z,https://www.thaipost.net/,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,22,,,,,1,,,0,,0,,0,,,,,,,,,,evidence_dp3/thaipost.net/mobile/run1_banner.png,,"interstitial_step1_before=evidence_dp3/thaipost.net/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.thaipost.net/; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thaipost.net/mobile/run1_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
thaipost.net,NEWS_MEDIA,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-15T04:10:28.678Z,https://www.thaipost.net/,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,0,,,,,1,,,0,,0,,0,,,,,,,,,,evidence_dp3/thaipost.net/desktop/run2_banner.png,,"interstitial_step1_before=evidence_dp3/thaipost.net/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.thaipost.net/; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thaipost.net/desktop/run2_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
thaipost.net,NEWS_MEDIA,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-15T04:10:50.288Z,https://www.thaipost.net/,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,21,,,,,1,,,0,,0,,0,,,,,,,,,,evidence_dp3/thaipost.net/mobile/run2_banner.png,,"interstitial_step1_before=evidence_dp3/thaipost.net/mobile/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.thaipost.net/; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thaipost.net/mobile/run2_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
