domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,dp3_flag_adv,dp3_pre_tracking_count,dp3_reject_tracking_count,dp3_accept_tracking_count,dp3_pre_only_endpoints_count,dp3_pre_only_cookies_count,dp3_pre_only_endpoints_sample,dp3_pre_only_cookies_sample,canvas_fp_preconsent,screenshot_path_banner,screenshot_path_manage,notes
set.or.th,FIN,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-12T15:56:03.886Z,https://www.set.or.th/th/home,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,evidence/set.or.th/desktop/run2_banner.png,,"interstitial_step1_before=evidence/set.or.th/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.set.or.th/th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/set.or.th/desktop/run2_interstitial_step1_after.png; "
set.or.th,FIN,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-12T15:56:06.507Z,https://www.set.or.th/th/home,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,evidence/set.or.th/mobile/run1_banner.png,,"interstitial_step1_before=evidence/set.or.th/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.set.or.th/th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/set.or.th/mobile/run1_interstitial_step1_after.png; "
settrade.com,FIN,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-12T15:56:33.501Z,https://www.settrade.com/th/home,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,evidence/settrade.com/desktop/run1_banner.png,,interstitial_step1_before=evidence/settrade.com/desktop/run1_interstitial_step1_before.png; 
settrade.com,FIN,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-12T15:56:42.580Z,https://www.settrade.com/th/home,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,1,,,1,,,,,,,,,,,,,,,,,evidence/settrade.com/desktop/run2_banner.png,,"interstitial_step1_before=evidence/settrade.com/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.settrade.com/th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/settrade.com/desktop/run2_interstitial_step1_after.png; "
set.or.th,FIN,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-12T15:56:33.261Z,https://www.set.or.th/th/home,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,evidence/set.or.th/mobile/run2_banner.png,,interstitial_step1_before=evidence/set.or.th/mobile/run2_interstitial_step1_before.png; 
settrade.com,FIN,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-12T15:58:12.649Z,https://www.settrade.com/th/home,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,6,,,1,,,,,,,,,,,,,,,,,evidence/settrade.com/mobile/run1_banner.png,,"interstitial_step1_before=evidence/settrade.com/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.settrade.com/th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/settrade.com/mobile/run1_interstitial_step1_after.png; "
settrade.com,FIN,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-12T15:58:13.232Z,https://www.settrade.com/th/home,ok,,1,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,1,,,1,,,,,,,,,,,,,,,,,evidence/settrade.com/mobile/run2_banner.png,,"interstitial_step1_before=evidence/settrade.com/mobile/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.settrade.com/th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/settrade.com/mobile/run2_interstitial_step1_after.png; "
tfex.co.th,FIN,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-12T15:58:13.573Z,https://www.tfex.co.th/th/home,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/tfex.co.th/desktop/run1_banner.png,evidence/tfex.co.th/desktop/run1_manage.png,"interstitial_step1_before=evidence/tfex.co.th/desktop/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.tfex.co.th/th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/tfex.co.th/desktop/run1_interstitial_step1_after.png; "
tfex.co.th,FIN,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-12T15:58:42.208Z,https://www.tfex.co.th/th/home,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,2,,,1,1,0,,,,,,,,,,,,,,,evidence/tfex.co.th/desktop/run2_banner.png,evidence/tfex.co.th/desktop/run2_manage.png,"interstitial_step1_before=evidence/tfex.co.th/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.tfex.co.th/th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/tfex.co.th/desktop/run2_interstitial_step1_after.png; "
tfex.co.th,FIN,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-12T15:58:42.833Z,https://www.tfex.co.th/th/home,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/tfex.co.th/mobile/run1_banner.png,evidence/tfex.co.th/mobile/run1_manage.png,"interstitial_step1_before=evidence/tfex.co.th/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.tfex.co.th/th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/tfex.co.th/mobile/run1_interstitial_step1_after.png; "
tfex.co.th,FIN,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-12T15:58:43.356Z,https://www.tfex.co.th/th/home,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,2,,,1,1,0,,,,,,,,,,,,,,,evidence/tfex.co.th/mobile/run2_banner.png,evidence/tfex.co.th/mobile/run2_manage.png,"interstitial_step1_before=evidence/tfex.co.th/mobile/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.tfex.co.th/th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/tfex.co.th/mobile/run2_interstitial_step1_after.png; "
